#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.16779730   0.00000000
 39.84377529   3.16779730   0.00000000
 39.84377529   1.93191327   0.00000000
129.02818202   1.93191327   0.00000000
129.02818202   1.94471643   0.00000000
130.02818202   1.94471643   0.00000000
130.02818202   1.94608474   0.00000000
130.52818202   1.94608474   0.00000000
130.52818202   1.94783551   0.00000000
131.02818202   1.94783551   0.00000000
131.02818202   1.95036213   0.00000000
131.52818202   1.95036213   0.00000000
131.52818202   1.95374042   0.00000000
132.02818202   1.95374042   0.00000000
132.02818202   1.95806829   0.00000000
132.52818202   1.95806829   0.00000000
132.52818202   1.96346587   0.00000000
133.02818202   1.96346587   0.00000000
133.02818202   1.97007561   0.00000000
133.52818202   1.97007561   0.00000000
133.52818202   1.97806224   0.00000000
134.02818202   1.97806224   0.00000000
134.02818202   1.98761253   0.00000000
134.52818202   1.98761253   0.00000000
134.52818202   1.99893467   0.00000000
135.02818202   1.99893467   0.00000000
135.02818202   2.01225739   0.00000000
135.52818202   2.01225739   0.00000000
135.52818202   2.02782853   0.00000000
136.02818202   2.02782853   0.00000000
136.02818202   2.04591316   0.00000000
136.52818202   2.04591316   0.00000000
136.52818202   2.06679109   0.00000000
137.02818202   2.06679109   0.00000000
137.02818202   2.09075376   0.00000000
137.52818202   2.09075376   0.00000000
137.52818202   2.11810048   0.00000000
138.02818202   2.11810048   0.00000000
138.02818202   2.14913401   0.00000000
138.52818202   2.14913401   0.00000000
138.52818202   2.18415549   0.00000000
139.02818202   2.18415549   0.00000000
139.02818202   2.22345881   0.00000000
139.52818202   2.22345881   0.00000000
139.52818202   2.26732445   0.00000000
140.02818202   2.26732445   0.00000000
140.02818202   2.31601289   0.00000000
140.52818202   2.31601289   0.00000000
140.52818202   2.36975779   0.00000000
141.02818202   2.36975779   0.00000000
141.02818202   2.42875901   0.00000000
141.52818202   2.42875901   0.00000000
141.52818202   2.49317573   0.00000000
142.02818202   2.49317573   0.00000000
142.02818202   2.56311984   0.00000000
142.52818202   2.56311984   0.00000000
142.52818202   2.63864980   0.00000000
143.02818202   2.63864980   0.00000000
143.02818202   2.71976519   0.00000000
143.52818202   2.71976519   0.00000000
143.52818202   2.80640222   0.00000000
144.02818202   2.80640222   0.00000000
144.02818202   2.89843027   0.00000000
144.52818202   2.89843027   0.00000000
144.52818202   2.99564978   0.00000000
145.02818202   2.99564978   0.00000000
145.02818202   3.09779151   0.00000000
145.52818202   3.09779151   0.00000000
145.52818202   3.20451735   0.00000000
146.02818202   3.20451735   0.00000000
146.02818202   3.31542276   0.00000000
146.52818202   3.31542276   0.00000000
146.52818202   3.43004066   0.00000000
147.02818202   3.43004066   0.00000000
147.02818202   3.54784706   0.00000000
147.52818202   3.54784706   0.00000000
147.52818202   3.66826802   0.00000000
148.02818202   3.66826802   0.00000000
148.02818202   3.79068790   0.00000000
148.52818202   3.79068790   0.00000000
148.52818202   3.91445878   0.00000000
149.02818202   3.91445878   0.00000000
149.02818202   4.03891076   0.00000000
149.52818202   4.03891076   0.00000000
149.52818202   4.16838167   0.00000000
150.02818202   4.16838167   0.00000000
150.02818202   4.29104850   0.00000000
150.52818202   4.29104850   0.00000000
150.52818202   4.41259159   0.00000000
151.02818202   4.41259159   0.00000000
151.02818202   4.53232007   0.00000000
151.52818202   4.53232007   0.00000000
151.52818202   4.64958255   0.00000000
152.02818202   4.64958255   0.00000000
152.02818202   4.76377557   0.00000000
152.52818202   4.76377557   0.00000000
152.52818202   4.87435090   0.00000000
153.02818202   4.87435090   0.00000000
153.02818202   4.98082174   0.00000000
153.52818202   4.98082174   0.00000000
153.52818202   5.08276757   0.00000000
154.02818202   5.08276757   0.00000000
154.02818202   5.17983744   0.00000000
154.52818202   5.17983744   0.00000000
154.52818202   5.27175186   0.00000000
155.02818202   5.27175186   0.00000000
155.02818202   5.35830316   0.00000000
155.52818202   5.35830316   0.00000000
155.52818202   5.43935432   0.00000000
156.02818202   5.43935432   0.00000000
156.02818202   5.51483659   0.00000000
156.52818202   5.51483659   0.00000000
156.52818202   5.58474570   0.00000000
157.02818202   5.58474570   0.00000000
157.02818202   5.64913720   0.00000000
157.52818202   5.64913720   0.00000000
157.52818202   5.70812081   0.00000000
158.02818202   5.70812081   0.00000000
158.02818202   5.76185417   0.00000000
158.52818202   5.76185417   0.00000000
158.52818202   5.81053608   0.00000000
159.02818202   5.81053608   0.00000000
159.02818202   5.85439961   0.00000000
159.52818202   5.85439961   0.00000000
159.52818202   5.89370504   0.00000000
160.02818202   5.89370504   0.00000000
160.02818202   5.92873305   0.00000000
160.52818202   5.92873305   0.00000000
160.52818202   5.95977812   0.00000000
