#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     8.87899688277714                2.069                    0
    39.8437752948688     8.87899688277714     3.16779730108354                    0
    89.1844067294354                    0     1.93191326739306                    0
                 1.5                    0     1.92586262109585                    0
                 0.5                    0     1.92438857084048                    0
                 0.5                    0     1.92319451895903                    0
                 0.5                    0     1.92159797102884                    0
                 0.5                    0     1.91955266210656                    0
                 0.5                    0      1.9170018210054                    0
                 0.5                    0     1.91387812412427                    0
                 0.5                    0     1.91010371816732                    0
                 0.5                    0     1.90559034618874                    0
                 0.5                    0     1.90023961338739                    0
                 0.5                    0      1.8939434296094                    0
                 0.5                    0     1.88658466441437                    0
                 0.5                    0      1.8780380476724                    0
                 0.5                    0     1.86817134388351                    0
                 0.5                    0     1.85684682171188                    0
                 0.5                    0     1.84392303164576                    0
                 0.5                    0     1.82925689436281                    0
                 0.5                    0     1.81270609053569                    0
                 0.5                    0     1.79413172979115                    0
                 0.5                    0     1.77340126278106                    0
                 0.5                    0     1.75039158636985                    0
                 0.5                    0     1.72499227840176                    0
                 0.5                    0     1.69710888604686                    0
                 0.5                    0     1.66666618102316                    0
                 0.5                    0     1.63361128672411                    0
                 0.5                    0     1.59791657706417                    0
                 0.5                    0     1.55958224521377                    0
                 0.5                    0     1.51863844271887                    0
                 0.5                    0     1.47514689601427                    0
                 0.5                    0     1.42920191807249                    0
                 0.5                    0     1.38093074770206                    0
                 0.5                    0     1.33049316742099                    0
                 0.5                    0     1.27808037227953                    0
                 0.5                    0     1.22391308569466                    0
                 0.5                    0     1.16823894334063                    0
                 0.5                    0     1.11132919135743                    0
                 0.5                    0     1.05347476947951                    0
                 0.5                    0    0.994981872041443                    0
                 0.5                    0    0.936167099142505                    0
                 0.5                    0     0.87498042710757                    0
                 0.5                    0    0.817009297565647                    0
                 0.5                    0    0.759569235250382                    0
                 0.5                    0    0.702986742691346                    0
                 0.5                    0    0.647569651718703                    0
                 0.5                    0    0.593603162138626                    0
                 0.5                    0     0.54134635719532                    0
                 0.5                    0     0.49102928805602                    0
                 0.5                    0    0.442850698675195                    0
                 0.5                    0    0.396976439171071                    0
                 0.5                    0    0.353538591424277                    0
                 0.5                    0     0.31263530613791                    0
                 0.5                    0    0.274331327179804                    0
                 0.5                    0    0.238659157651654                    0
                 0.5                    0    0.205620803628996                    0
                 0.5                    0    0.175190016532866                    0
                 0.5                    0    0.147314944056352                    0
                 0.5                    0    0.121921092683948                    0
                 0.5                    0   0.0989145020993482                    0
                 0.5                    0   0.0781850329699406                    0
                 0.5                    0   0.0596096743447118                    0
                 0.5                    0   0.0430557846909877                    0
                 0.5                    0   0.0283841908123557                    0
                 0.5                    0   0.0154520808678446                    0
                 0.5                    0  0.00411564076864858                    0
                 0.5                    0  -0.0057676032966407                    0
                 0.5                    0  -0.0143367601703855                    0
                 0.5                    0  -0.0217258782576749                    0
                 0.5                    0  -0.0280625792440541                    0
                 0.5                    0  -0.0334670110026316                    0
                 0.5                    0    -0.03805110141662                    0
                 0.5                    0  -0.0419180883549479                    0
                 0.5                    0  -0.0451622963488721                    0
                 0.5                    0  -0.0478691275507453                    0
