#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     2.78057706404021                2.069                    0
    10.8689435813569     2.78057706404021     3.22053260609723                    0
    114.725032653822                    0     2.29066609976799                    0
                   5                    0     2.29068892971778                    0
                 0.5                    0     2.29197079238383                    0
                 0.5                    0     2.29262640530203                    0
                 0.5                    0     2.29357635441927                    0
                 0.5                    0     2.29493527913693                    0
                 0.5                    0     2.29685454453706                    0
                 0.5                    0     2.29953075345526                    0
                 0.5                    0      2.3032150154004                    0
                 0.5                    0     2.30822257831902                    0
                 0.5                    0     2.31494224229376                    0
                 0.5                    0     2.32384477618973                    0
                 0.5                    0     2.33548936825143                    0
                 0.5                    0     2.35052698484697                    0
                 0.5                    0     2.36969941742897                    0
                 0.5                    0     2.39383279732722                    0
                 0.5                    0     2.42382447973716                    0
                 0.5                    0     2.46062246345637                    0
                 0.5                    0     2.50519693036706                    0
                 0.5                    0     2.55850405015428                    0
                 0.5                    0     2.62435321512215                    0
                 0.5                    0     2.69676722139083                    0
                 0.5                    0     2.78053716188046                    0
                 0.5                    0     2.87600535832043                    0
                 0.5                    0     2.98328005856136                    0
                 0.5                    0      3.1021889379029                    0
                 0.5                    0     3.23224427410999                    0
                 0.5                    0     3.37262286033506                    0
                 0.5                    0     3.52216292956015                    0
                 0.5                    0     3.67937929221492                    0
                 0.5                    0     3.84249661593655                    0
                 0.5                    0     4.00949941683354                    0
                 0.5                    0     4.17819601941508                    0
                 0.5                    0     4.34629261576161                    0
                 0.5                    0     4.51147273751345                    0
                 0.5                    0      4.6714770396585                    0
                 0.5                    0     4.82417833152043                    0
                 0.5                    0     4.96764727509661                    0
                 0.5                    0     5.10020504999923                    0
                 0.5                    0     5.22046045958666                    0
                 0.5                    0     5.32733029526694                    0
                 0.5                    0      5.4200431422223                    0
                 0.5                    0     5.49812806103149                    0
                 0.5                    0     5.56139059808277                    0
                 0.5                    0     5.60987927969673                    0
                 0.5                    0     5.64384608877378                    0
                 0.5                    0     5.66370441020253                    0
                 0.5                    0     5.66998760305122                    0
                 0.5                    0     5.66331078491097                    0
                 0.5                    0     5.64433768648092                    0
                 0.5                    0     5.61375364830913                    0
                 0.5                    0     5.57224507631802                    0
                 0.5                    0     5.52048502264697                    0
                 0.5                    0     5.45912406589293                    0
                 0.5                    0       5.388785357802                    0
                 0.5                    0     5.31006258542217                    0
                 0.5                    0     5.22351965115515                    0
                 0.5                    0      5.1296910644222                    0
                 0.5                    0     5.02908232396923                    0
                 0.5                    0     4.92216990118093                    0
                 0.5                    0     4.80940076545135                    0
                 0.5                    0     4.69119168176095                    0
                 0.5                    0     4.56792872631014                    0
                 0.5                    0     4.43996758761618                    0
                 0.5                    0     4.30763523903988                    0
                 0.5                    0     4.17123348701698                    0
                 0.5                    0     4.03104473048031                    0
                 0.5                    0     3.88734003271551                    0
                 0.5                    0      3.7403893348663                    0
                 0.5                    0     3.59047336138312                    0
                 0.5                    0     3.43789651303309                    0
                 0.5                    0     3.28299984114165                    0
                 0.5                    0     3.12617307070645                    0
                 0.5                    0     2.96786460564737                    0
                 0.5                    0     2.80858851354505                    0
                 0.5                    0     2.64892764700224                    0
                 0.5                    0     2.48953230214083                    0
                 0.5                    0     2.33111412145147                    0
                 0.5                    0     2.17443529176435                    0
                 0.5                    0     2.02029343840614                    0
                 0.5                    0     1.86950294287076                    0
                 0.5                    0     1.72287368510941                    0
                 0.5                    0     1.58118840945657                    0
                 0.5                    0     1.44518001912793                    0
                 0.5                    0     1.31551011069246                    0
                 0.5                    0     1.19274996862344                    0
                 0.5                    0     1.07736506134875                    0
                 0.5                    0    0.969703831885465                    0
                 0.5                    0    0.869991281231497                    0
                 0.5                    0     0.77832752714798                    0
                 0.5                    0    0.694691211021125                    0
                 0.5                    0     0.61894734515577                    0
                 0.5                    0    0.550858961864223                    0
                 0.5                    0    0.490101758045133                    0
                 0.5                    0    0.436280832010567                    0
                 0.5                    0    0.388948583891475                    0
                 0.5                    0    0.347622891743054                    0
                 0.5                    0    0.311804772222159                    0
                 0.5                    0    0.280994873625559                    0
                 0.5                    0    0.254708314428234                    0
                 0.5                    0    0.232487556138153                    0
                 0.5                    0    0.213913170193783                    0
                 0.5                    0     0.19861251178887                    0
                 0.5                    0    0.186266438796923                    0
                 0.5                    0    0.176614304536527                    0
                 0.5                    0    0.169457505474903                    0
                 0.5                    0    0.164661878807477                    0
                 0.5                    0    0.162159222713263                    0
                 0.5                    0    0.161948158898336                    0
                 0.5                    0    0.164094479628913                    0
                 0.5                    0    0.168731028050568                    0
                 0.5                    0    0.176057060347862                    0
                 0.5                    0    0.186336940842048                    0
                 0.5                    0    0.199897936079882                    0
                 0.5                    0    0.217126810476102                    0
                 0.5                    0    0.238464892260698                    0
                 0.5                    0    0.264401280879804                    0
                 0.5                    0    0.295463909929857                    0
                 0.5                    0    0.332208264693323                    0
                 0.5                    0    0.375203678597703                    0
                 0.5                    0    0.425017292978317                    0
                 0.5                    0     0.48219595016358                    0
                 0.5                    0    0.547246488365159                    0
                 0.5                    0    0.620615102486524                    0
                 0.5                    0    0.702666610230688                    0
                 0.5                    0    0.793664599779672                    0
                 0.5                    0    0.893753517010912                    0
                 0.5                    0     1.00294376286124                    0
                 0.5                    0     1.12110080589877                    0
                 0.5                    0     1.24793916841356                    0
                 0.5                    0     1.38302192049361                    0
                 0.5                    0     1.52576602713672                    0
                 0.5                    0     1.67545355694883                    0
                 0.5                    0      1.8312484016124                    0
                 0.5                    0     1.99221780106589                    0
                 0.5                    0     2.15735764948432                    0
