#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.22053261   0.00000000
 10.86894358   3.22053261   0.00000000
 10.86894358   2.29066610   0.00000000
125.59397624   2.29066610   0.00000000
125.59397624   2.29064987   0.00000000
131.09397624   2.29064987   0.00000000
131.09397624   2.28927290   0.00000000
131.59397624   2.28927290   0.00000000
131.59397624   2.28859776   0.00000000
132.09397624   2.28859776   0.00000000
132.09397624   2.28763194   0.00000000
132.59397624   2.28763194   0.00000000
132.59397624   2.28626787   0.00000000
133.09397624   2.28626787   0.00000000
133.09397624   2.28436580   0.00000000
133.59397624   2.28436580   0.00000000
133.59397624   2.28174724   0.00000000
134.09397624   2.28174724   0.00000000
134.09397624   2.27818811   0.00000000
134.59397624   2.27818811   0.00000000
134.59397624   2.27341202   0.00000000
135.09397624   2.27341202   0.00000000
135.09397624   2.26708430   0.00000000
135.59397624   2.26708430   0.00000000
135.59397624   2.25880738   0.00000000
136.09397624   2.25880738   0.00000000
136.09397624   2.24811838   0.00000000
136.59397624   2.24811838   0.00000000
136.59397624   2.23448977   0.00000000
137.09397624   2.23448977   0.00000000
137.09397624   2.21733391   0.00000000
137.59397624   2.21733391   0.00000000
137.59397624   2.19601233   0.00000000
138.09397624   2.19601233   0.00000000
138.09397624   2.16985021   0.00000000
138.59397624   2.16985021   0.00000000
138.59397624   2.13815654   0.00000000
139.09397624   2.13815654   0.00000000
139.09397624   2.10024966   0.00000000
139.59397624   2.10024966   0.00000000
139.59397624   2.05341935   0.00000000
140.09397624   2.05341935   0.00000000
140.09397624   2.00190947   0.00000000
140.59397624   2.00190947   0.00000000
140.59397624   1.94230961   0.00000000
141.09397624   1.94230961   0.00000000
141.09397624   1.87436915   0.00000000
141.59397624   1.87436915   0.00000000
141.59397624   1.79800146   0.00000000
142.09397624   1.79800146   0.00000000
142.09397624   1.71331632   0.00000000
142.59397624   1.71331632   0.00000000
142.59397624   1.62064394   0.00000000
143.09397624   1.62064394   0.00000000
143.09397624   1.52054839   0.00000000
143.59397624   1.52054839   0.00000000
143.59397624   1.41382888   0.00000000
144.09397624   1.41382888   0.00000000
144.09397624   1.30150799   0.00000000
144.59397624   1.30150799   0.00000000
144.59397624   1.18480695   0.00000000
145.09397624   1.18480695   0.00000000
145.09397624   1.06510906   0.00000000
145.59397624   1.06510906   0.00000000
145.59397624   0.94391328   0.00000000
146.09397624   0.94391328   0.00000000
146.09397624   0.82278070   0.00000000
146.59397624   0.82278070   0.00000000
146.59397624   0.70327747   0.00000000
147.09397624   0.70327747   0.00000000
147.09397624   0.58691786   0.00000000
147.59397624   0.58691786   0.00000000
147.59397624   0.47511112   0.00000000
148.09397624   0.47511112   0.00000000
148.09397624   0.36911556   0.00000000
148.59397624   0.36911556   0.00000000
148.59397624   0.27000258   0.00000000
149.09397624   0.27000258   0.00000000
149.09397624   0.17863255   0.00000000
149.59397624   0.17863255   0.00000000
149.59397624   0.09564331   0.00000000
150.09397624   0.09564331   0.00000000
150.09397624   0.02145134   0.00000000
150.59397624   0.02145134   0.00000000
150.59397624  -0.04373569   0.00000000
151.09397624  -0.04373569   0.00000000
151.09397624  -0.09989677   0.00000000
151.59397624  -0.09989677   0.00000000
151.59397624  -0.14716828   0.00000000
152.09397624  -0.14716828   0.00000000
152.09397624  -0.18581053   0.00000000
152.59397624  -0.18581053   0.00000000
152.59397624  -0.21617278   0.00000000
153.09397624  -0.21617278   0.00000000
153.09397624  -0.23865972   0.00000000
153.59397624  -0.23865972   0.00000000
153.59397624  -0.25370155   0.00000000
154.09397624  -0.25370155   0.00000000
154.09397624  -0.26172953   0.00000000
154.59397624  -0.26172953   0.00000000
154.59397624  -0.26315829   0.00000000
155.09397624  -0.26315829   0.00000000
155.09397624  -0.25837549   0.00000000
155.59397624  -0.25837549   0.00000000
155.59397624  -0.24773873   0.00000000
156.09397624  -0.24773873   0.00000000
156.09397624  -0.23157924   0.00000000
156.59397624  -0.23157924   0.00000000
156.59397624  -0.21021134   0.00000000
157.09397624  -0.21021134   0.00000000
157.09397624  -0.18394632   0.00000000
157.59397624  -0.18394632   0.00000000
157.59397624  -0.15310907   0.00000000
158.09397624  -0.15310907   0.00000000
158.09397624  -0.11805597   0.00000000
158.59397624  -0.11805597   0.00000000
158.59397624  -0.07919214   0.00000000
159.09397624  -0.07919214   0.00000000
159.09397624  -0.03698649   0.00000000
159.59397624  -0.03698649   0.00000000
159.59397624   0.00801673   0.00000000
160.09397624   0.00801673   0.00000000
160.09397624   0.05519130   0.00000000
160.59397624   0.05519130   0.00000000
160.59397624   0.10382793   0.00000000
161.09397624   0.10382793   0.00000000
161.09397624   0.15313940   0.00000000
