#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000  -0.49515866   0.00000000
  0.00000000  -0.49515866   0.00000000
  0.00000000  -0.11437790   0.00000000
 10.00000000  -0.11437790   0.00000000
 10.00000000  -0.22020055   0.00000000
 49.95292555  -0.22020055   0.00000000
 49.95292555   1.13041470   0.00000000
 59.95292555   1.13041470   0.00000000
 59.95292555  -0.49515866   0.00000000
 60.65023171  -0.49515866   0.00000000
 60.65023171   3.16194050   0.00000000
148.53965690   3.16194050   0.00000000
148.53965690   5.09488697   0.00000000
188.37492560   5.09488697   0.00000000
188.37492560   2.06900000   0.00000000
198.37492560   2.06900000   0.00000000
