#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     4.91112616641315                2.069                    0
    39.2557001685957     4.91112616641315     3.35970010272813                    0
    18.2585231033285     7.57964391933618     3.97587031982812                    0
    105.018082196103                    0     4.44845975508154                    0
                 4.5                    0     4.44839545565991                    0
                 0.5                    0     4.44736640640535                    0
                 0.5                    0     4.44692032113479                    0
                 0.5                    0     4.44631313713541                    0
                 0.5                    0     4.44549550460376                    0
                 0.5                    0     4.44524025070242                    0
                 0.5                    0      4.4433066357621                    0
                 0.5                    0     4.44122578721361                    0
                 0.5                    0      4.4387281014622                    0
                 0.5                    0     4.43561458890196                    0
                 0.5                    0     4.43171115030259                    0
                 0.5                    0     4.42684540300183                    0
                 0.5                    0     4.42083690184285                    0
                 0.5                    0     4.41349486605752                    0
                 0.5                    0     4.40462014592554                    0
                 0.5                    0     4.39400980164733                    0
                 0.5                    0     4.38146350529148                    0
                 0.5                    0     4.36679130939836                    0
                 0.5                    0     4.34982238757698                    0
                 0.5                    0     4.33041428949831                    0
                 0.5                    0     4.30846214627614                    0
                 0.5                    0     4.28390715713373                    0
                 0.5                    0     4.25674361188913                    0
                 0.5                    0      4.2270236753947                    0
                 0.5                    0     4.19485919375447                    0
                 0.5                    0     4.16041988694269                    0
                 0.5                    0     4.12392747123599                    0
                 0.5                    0     4.08564550327242                    0
                 0.5                    0     4.04586504330526                    0
                 0.5                    0     4.00488657835663                    0
                 0.5                    0     3.96299899988253                    0
                 0.5                    0     3.92045676397887                    0
                 0.5                    0     3.87745664196644                    0
                 0.5                    0      3.8341156637193                    0
                 0.5                    0     3.79045193863544                    0
                 0.5                    0     3.74636999122789                    0
                 0.5                    0     3.70165206239379                    0
                 0.5                    0     3.65595650854077                    0
                 0.5                    0     3.60882399696275                    0
                 0.5                    0     3.55969167724293                    0
                 0.5                    0     3.50791494481173                    0
                 0.5                    0     3.45279585012583                    0
                 0.5                    0     3.39361669322163                    0
                 0.5                    0     3.32967692387533                    0
                 0.5                    0      3.2603311802748                    0
                 0.5                    0     3.18502617085283                    0
                 0.5                    0     3.10333414768072                    0
                 0.5                    0     3.01498093314146                    0
                 0.5                    0     2.91986682681343                    0
                 0.5                    0      2.8180792053676                    0
                 0.5                    0     2.70989619308923                    0
                 0.5                    0      2.5957813762951                    0
                 0.5                    0     2.47637011171486                    0
                 0.5                    0     2.35244849034779                    0
                 0.5                    0      2.2249264255368                    0
                 0.5                    0     2.09480660933791                    0
                 0.5                    0     1.96315121045622                    0
                 0.5                    0     1.83104817003072                    0
                 0.5                    0     1.69957880178388                    0
                 0.5                    0     1.56978814517873                    0
                 0.5                    0     1.44265918689471                    0
                 0.5                    0     1.31909169379555                    0
                 0.5                    0     1.19988602611607                    0
                 0.5                    0     1.08573195534253                    0
                 0.5                    0    0.977202222640025                    0
                 0.5                    0    0.874750357082188                    0
                 0.5                    0    0.778712134988758                    0
                 0.5                    0     0.68930999976057                    0
