#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.35970010   0.00000000
 39.25570017   3.35970010   0.00000000
 39.25570017   3.97587032   0.00000000
 57.51422327   3.97587032   0.00000000
 57.51422327   4.44845976   0.00000000
162.53230547   4.44845976   0.00000000
162.53230547   4.44839546   0.00000000
167.03230547   4.44839546   0.00000000
167.03230547   4.44736641   0.00000000
167.53230547   4.44736641   0.00000000
167.53230547   4.44692032   0.00000000
168.03230547   4.44692032   0.00000000
168.03230547   4.44631314   0.00000000
168.53230547   4.44631314   0.00000000
168.53230547   4.44549550   0.00000000
169.03230547   4.44549550   0.00000000
169.03230547   4.44524025   0.00000000
169.53230547   4.44524025   0.00000000
169.53230547   4.44330664   0.00000000
170.03230547   4.44330664   0.00000000
170.03230547   4.44122579   0.00000000
170.53230547   4.44122579   0.00000000
170.53230547   4.43872810   0.00000000
171.03230547   4.43872810   0.00000000
171.03230547   4.43561459   0.00000000
171.53230547   4.43561459   0.00000000
171.53230547   4.43171115   0.00000000
172.03230547   4.43171115   0.00000000
172.03230547   4.42684540   0.00000000
172.53230547   4.42684540   0.00000000
172.53230547   4.42083690   0.00000000
173.03230547   4.42083690   0.00000000
173.03230547   4.41349487   0.00000000
173.53230547   4.41349487   0.00000000
173.53230547   4.40462015   0.00000000
174.03230547   4.40462015   0.00000000
174.03230547   4.39400980   0.00000000
174.53230547   4.39400980   0.00000000
174.53230547   4.38146351   0.00000000
175.03230547   4.38146351   0.00000000
175.03230547   4.36679131   0.00000000
175.53230547   4.36679131   0.00000000
175.53230547   4.34982239   0.00000000
176.03230547   4.34982239   0.00000000
176.03230547   4.33041429   0.00000000
176.53230547   4.33041429   0.00000000
176.53230547   4.30846215   0.00000000
177.03230547   4.30846215   0.00000000
177.03230547   4.28390716   0.00000000
177.53230547   4.28390716   0.00000000
177.53230547   4.25674361   0.00000000
178.03230547   4.25674361   0.00000000
178.03230547   4.22702368   0.00000000
178.53230547   4.22702368   0.00000000
178.53230547   4.19485919   0.00000000
179.03230547   4.19485919   0.00000000
179.03230547   4.16041989   0.00000000
179.53230547   4.16041989   0.00000000
179.53230547   4.12392747   0.00000000
180.03230547   4.12392747   0.00000000
180.03230547   4.08564550   0.00000000
180.53230547   4.08564550   0.00000000
180.53230547   4.04586504   0.00000000
181.03230547   4.04586504   0.00000000
181.03230547   4.00488658   0.00000000
181.53230547   4.00488658   0.00000000
181.53230547   3.96299900   0.00000000
182.03230547   3.96299900   0.00000000
182.03230547   3.92045676   0.00000000
182.53230547   3.92045676   0.00000000
182.53230547   3.87745664   0.00000000
183.03230547   3.87745664   0.00000000
183.03230547   3.83411566   0.00000000
183.53230547   3.83411566   0.00000000
183.53230547   3.79045194   0.00000000
184.03230547   3.79045194   0.00000000
184.03230547   3.74636999   0.00000000
184.53230547   3.74636999   0.00000000
184.53230547   3.70165206   0.00000000
185.03230547   3.70165206   0.00000000
185.03230547   3.65595651   0.00000000
185.53230547   3.65595651   0.00000000
185.53230547   3.60882400   0.00000000
186.03230547   3.60882400   0.00000000
186.03230547   3.55969168   0.00000000
186.53230547   3.55969168   0.00000000
186.53230547   3.50791494   0.00000000
187.03230547   3.50791494   0.00000000
187.03230547   3.45279585   0.00000000
187.53230547   3.45279585   0.00000000
187.53230547   3.39361669   0.00000000
188.03230547   3.39361669   0.00000000
188.03230547   3.32967692   0.00000000
188.53230547   3.32967692   0.00000000
188.53230547   3.26033118   0.00000000
189.03230547   3.26033118   0.00000000
189.03230547   3.18502617   0.00000000
189.53230547   3.18502617   0.00000000
189.53230547   3.10333415   0.00000000
190.03230547   3.10333415   0.00000000
190.03230547   3.01498093   0.00000000
190.53230547   3.01498093   0.00000000
190.53230547   2.91986683   0.00000000
191.03230547   2.91986683   0.00000000
191.03230547   2.81807921   0.00000000
191.53230547   2.81807921   0.00000000
191.53230547   2.70989619   0.00000000
192.03230547   2.70989619   0.00000000
192.03230547   2.59578138   0.00000000
192.53230547   2.59578138   0.00000000
192.53230547   2.47637011   0.00000000
193.03230547   2.47637011   0.00000000
193.03230547   2.35244849   0.00000000
193.53230547   2.35244849   0.00000000
193.53230547   2.22492643   0.00000000
194.03230547   2.22492643   0.00000000
194.03230547   2.09480661   0.00000000
194.53230547   2.09480661   0.00000000
194.53230547   1.96315121   0.00000000
195.03230547   1.96315121   0.00000000
195.03230547   1.83104817   0.00000000
195.53230547   1.83104817   0.00000000
195.53230547   1.69957880   0.00000000
196.03230547   1.69957880   0.00000000
196.03230547   1.56978815   0.00000000
196.53230547   1.56978815   0.00000000
196.53230547   1.44265919   0.00000000
197.03230547   1.44265919   0.00000000
197.03230547   1.31909169   0.00000000
