#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0       2.968673296691                2.069                    0
    11.9606026282051       2.968673296691     3.15724390903897                    0
     36.428199238473     6.09010443590575     3.35223426212158                    0
    115.664586871618                    0     4.41626673217153                    0
                   5                    0     4.41619758967766                    0
                 0.5                    0      4.4150073577773                    0
                 0.5                    0     4.41453293632322                    0
                 0.5                    0     4.41389647858573                    0
                 0.5                    0     4.41390790647622                    0
                 0.5                    0     4.41227599717085                    0
                 0.5                    0     4.41059378034724                    0
                 0.5                    0     4.40859995002908                    0
                 0.5                    0     4.40610375942851                    0
                 0.5                    0     4.40293552331558                    0
                 0.5                    0     4.39891964129472                    0
                 0.5                    0     4.39386073138692                    0
                 0.5                    0     4.38753689972516                    0
                 0.5                    0     4.37969695505844                    0
                 0.5                    0     4.37006014341239                    0
                 0.5                    0      4.3583179021363                    0
                 0.5                    0     4.34413750083446                    0
                 0.5                    0     4.32716747969905                    0
                 0.5                    0     4.30704466300954                    0
                 0.5                    0     4.28340231368688                    0
                 0.5                    0     4.25587877724038                    0
                 0.5                    0     4.22412580466274                    0
                 0.5                    0     4.18781569791691                    0
                 0.5                    0     4.14664652200631                    0
                 0.5                    0     4.10034487577749                    0
                 0.5                    0     4.04866607509489                    0
                 0.5                    0     3.99139201375954                    0
                 0.5                    0     3.92832735626986                    0
                 0.5                    0     3.85929502191446                    0
                 0.5                    0     3.78413211175531                    0
                 0.5                    0     3.70268751155454                    0
                 0.5                    0     3.61482239448603                    0
                 0.5                    0      3.5204147576289                    0
                 0.5                    0     3.41936893280155                    0
                 0.5                    0      3.3116306561705                    0
                 0.5                    0     3.19720769289329                    0
                 0.5                    0     3.07619516200475                    0
                 0.5                    0     2.94880365143334                    0
                 0.5                    0     2.81538712671027                    0
                 0.5                    0     2.67646678611518                    0
                 0.5                    0     2.53274668912225                    0
                 0.5                    0     2.38511739815646                    0
                 0.5                    0     2.23464507534777                    0
                 0.5                    0        2.08254530853                    0
                 0.5                    0     1.93014306463355                    0
                 0.5                    0     1.77882215033819                    0
                 0.5                    0     1.62996899236652                    0
                 0.5                    0     1.48491616359109                    0
                 0.5                    0     1.34489080869137                    0
                 0.5                    0     1.21097209930999                    0
                 0.5                    0     1.08406035350028                    0
                 0.5                    0    0.964858823239797                    0
                 0.5                    0    0.853867688343353                    0
                 0.5                    0    0.751388699512808                    0
                 0.5                    0    0.657538270709371                    0
                 0.5                    0     0.57226660648047                    0
                 0.5                    0    0.495380566426186                    0
                 0.5                    0    0.426568291196444                    0
                 0.5                    0    0.365424024588479                    0
                 0.5                    0    0.311471976508005                    0
                 0.5                    0    0.264188430320713                    0
                 0.5                    0    0.223021585974411                    0
                 0.5                    0    0.187408849430772                    0
                 0.5                    0      0.1567914423283                    0
                 0.5                    0    0.130626328488798                    0
                 0.5                    0    0.108395548176146                    0
                 0.5                    0   0.0896131247256028                    0
                 0.5                    0    0.073829765055831                    0
                 0.5                    0   0.0606356168426715                    0
                 0.5                    0   0.0496613709290321                    0
                 0.5                    0   0.0405780081553172                    0
                 0.5                    0   0.0330954862580784                    0
                 0.5                    0   0.0269606467320477                    0
                 0.5                    0    0.021954596229665                    0
                 0.5                    0   0.0178897852106683                    0
                 0.5                    0   0.0146069712009796                    0
                 0.5                    0   0.0119722179395459                    0
                 0.5                    0  0.00987404715082813                    0
                 0.5                    0   0.0082208283373394                    0
                 0.5                    0  0.00693846486619574                    0
                 0.5                    0  0.00596841216608598                    0
                 0.5                    0  0.00526604600220616                    0
                 0.5                    0  0.00479938512812953                    0
                 0.5                    0  0.00454816244822637                    0
                 0.5                    0  0.00450323135772448                    0
                 0.5                    0  0.00466628833548504                    0
                 0.5                    0  0.00504988839105072                    0
                 0.5                    0  0.00567772599027248                    0
                 0.5                    0  0.00658515015981718                    0
                 0.5                    0  0.00781987835931609                    0
                 0.5                    0  0.00944286937565472                    0
                 0.5                    0   0.0115293110935595                    0
                 0.5                    0   0.0141696748468471                    0
                 0.5                    0   0.0174707845856276                    0
                 0.5                    0   0.0215568467918303                    0
                 0.5                    0   0.0265703864094508                    0
                 0.5                    0   0.0326730354111986                    0
                 0.5                    0   0.0400461242241299                    0
                 0.5                    0   0.0488910320868627                    0
                 0.5                    0   0.0594292602465346                    0
                 0.5                    0   0.0719022011773768                    0
                 0.5                    0   0.0865705868992266                    0
                 0.5                    0    0.103713608965709                    0
                 0.5                    0    0.123627710633451                    0
                 0.5                    0    0.146625056985947                    0
                 0.5                    0    0.173031690409338                    0
                 0.5                    0    0.203185376182485                    0
                 0.5                    0    0.237433135923049                    0
                 0.5                    0    0.276128455713592                    0
                 0.5                    0    0.319628142086465                    0
                 0.5                    0    0.368288784510718                    0
                 0.5                    0    0.422462770004231                    0
                 0.5                    0    0.482493786769513                    0
                 0.5                    0    0.548711752201217                    0
                 0.5                    0    0.621427108878179                    0
                 0.5                    0    0.700924452270682                    0
                 0.5                    0    0.787455486948671                    0
                 0.5                    0    0.881231353907372                    0
                 0.5                    0    0.982414428637532                    0
                 0.5                    0      1.0911097546794                    0
                 0.5                    0     1.20735634616394                    0
                 0.5                    0     1.33111865972153                    0
                 0.5                    0     1.46227859492684                    0
                 0.5                    0     1.60062842683542                    0
                 0.5                    0     1.74586509833447                    0
                 0.5                    0     1.89758629926969                    0
                 0.5                    0     2.05528873056549                    0
                 0.5                    0     2.21836889384336                    0
                 0.5                    0     2.38612666168169                    0
                 0.5                    0     2.55777177429808                    0
                 0.5                    0      2.7324332808514                    0
                 0.5                    0     2.90917180525583                    0
                 0.5                    0      3.0869943760247                    0
                 0.5                    0      3.2648714263284                    0
                 0.5                    0     3.44175545299506                    0
                 0.5                    0      3.6166007294571                    0
                 0.5                    0     3.78838340390421                    0
                 0.5                    0     3.95612128432104                    0
                 0.5                    0     4.11889261848997                    0
                 0.5                    0     4.27585321880454                    0
                 0.5                    0     4.42625135592949                    0
                 0.5                    0     4.56943994699195                    0
                 0.5                    0     4.70488568654737                    0
                 0.5                    0     4.83217490443452                    0
                 0.5                    0     4.95101607575305                    0
                 0.5                    0     5.06123904660612                    0
                 0.5                    0     5.16279116762622                    0
                 0.5                    0     5.25573063938864                    0
                 0.5                    0     5.34021746475601                    0
                 0.5                    0     5.41650246972492                    0
                 0.5                    0     5.48491489486918                    0
                 0.5                    0     5.54584907402256                    0
                 0.5                    0     5.59975070691822                    0
                 0.5                    0     5.64710320084713                    0
                 0.5                    0     5.68841450670553                    0
                 0.5                    0     5.72420481139869                    0
                 0.5                    0     5.75499537608113                    0
                 0.5                    0     5.78129873276434                    0
                 0.5                    0      5.8036103747478                    0
                 0.5                    0     5.82240200295738                    0
                 0.5                    0     5.83811632375825                    0
                 0.5                    0     5.85116333651984                    0
                 0.5                    0     5.86191800269962                    0
                 0.5                    0      5.8707191532274                    0
                 0.5                    0     5.87786946752297                    0
                 0.5                    0     5.88363634494396                    0
                 0.5                    0      5.8882534867142                    0
                 0.5                    0     5.89192301194426                    0
                 0.5                    0     5.89481794353425                    0
                 0.5                    0     5.89708491677859                    0
                 0.5                    0     5.89884698365326                    0
                 0.5                    0     5.90020640748103                    0
                 0.5                    0     5.90124736457215                    0
                  59                    0     5.90428296951037                    0
                   0                    0     5.90428296951037                    0
