#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.45261649   0.00000000
 38.77709164   3.45261649   0.00000000
 38.77709164   3.92497638   0.00000000
 53.91839159   3.92497638   0.00000000
 53.91839159   4.42014307   0.00000000
199.90248817   4.42014307   0.00000000
199.90248817   4.42014307   0.00000000
206.40248817   4.42014307   0.00000000
206.40248817   4.41732510   0.00000000
206.90248817   4.41732510   0.00000000
206.90248817   4.41898439   0.00000000
207.40248817   4.41898439   0.00000000
207.40248817   4.41965417   0.00000000
207.90248817   4.41965417   0.00000000
207.90248817   4.41986666   0.00000000
208.40248817   4.41986666   0.00000000
208.40248817   4.41984399   0.00000000
208.90248817   4.41984399   0.00000000
208.90248817   4.41964100   0.00000000
209.40248817   4.41964100   0.00000000
209.40248817   4.41920926   0.00000000
209.90248817   4.41920926   0.00000000
209.90248817   4.41841143   0.00000000
210.40248817   4.41841143   0.00000000
210.40248817   4.41700406   0.00000000
210.90248817   4.41700406   0.00000000
210.90248817   4.41459781   0.00000000
211.40248817   4.41459781   0.00000000
211.40248817   4.41059999   0.00000000
211.90248817   4.41059999   0.00000000
211.90248817   4.40414270   0.00000000
212.40248817   4.40414270   0.00000000
212.40248817   4.39400238   0.00000000
212.90248817   4.39400238   0.00000000
212.90248817   4.37852007   0.00000000
213.40248817   4.37852007   0.00000000
213.40248817   4.35553721   0.00000000
213.90248817   4.35553721   0.00000000
213.90248817   4.32236624   0.00000000
214.40248817   4.32236624   0.00000000
214.40248817   4.27581843   0.00000000
214.90248817   4.27581843   0.00000000
214.90248817   4.21231057   0.00000000
215.40248817   4.21231057   0.00000000
215.40248817   4.12806592   0.00000000
215.90248817   4.12806592   0.00000000
215.90248817   4.01941285   0.00000000
216.40248817   4.01941285   0.00000000
216.40248817   3.88316714   0.00000000
216.90248817   3.88316714   0.00000000
216.90248817   3.71706353   0.00000000
217.40248817   3.71706353   0.00000000
217.40248817   3.52018350   0.00000000
217.90248817   3.52018350   0.00000000
217.90248817   3.29331331   0.00000000
218.40248817   3.29331331   0.00000000
218.40248817   3.03916478   0.00000000
218.90248817   3.03916478   0.00000000
218.90248817   2.76240309   0.00000000
219.40248817   2.76240309   0.00000000
219.40248817   2.46945103   0.00000000
219.90248817   2.46945103   0.00000000
219.90248817   2.16807385   0.00000000
220.40248817   2.16807385   0.00000000
220.40248817   1.86678623   0.00000000
220.90248817   1.86678623   0.00000000
220.90248817   1.57415509   0.00000000
221.40248817   1.57415509   0.00000000
221.40248817   1.29809141   0.00000000
221.90248817   1.29809141   0.00000000
221.90248817   1.04522627   0.00000000
222.40248817   1.04522627   0.00000000
222.40248817   0.82045131   0.00000000
222.90248817   0.82045131   0.00000000
222.90248817   0.62667380   0.00000000
223.40248817   0.62667380   0.00000000
223.40248817   0.46480005   0.00000000
223.90248817   0.46480005   0.00000000
223.90248817   0.33392501   0.00000000
224.40248817   0.33392501   0.00000000
224.40248817   0.23167772   0.00000000
224.90248817   0.23167772   0.00000000
224.90248817   0.15465646   0.00000000
225.40248817   0.15465646   0.00000000
225.40248817   0.09888566   0.00000000
225.90248817   0.09888566   0.00000000
225.90248817   0.06023571   0.00000000
226.40248817   0.06023571   0.00000000
226.40248817   0.03476429   0.00000000
226.90248817   0.03476429   0.00000000
226.90248817   0.01895780   0.00000000
227.40248817   0.01895780   0.00000000
227.40248817   0.00987006   0.00000000
227.90248817   0.00987006   0.00000000
227.90248817   0.00516987   0.00000000
228.40248817   0.00516987   0.00000000
228.40248817   0.00311794   0.00000000
228.90248817   0.00311794   0.00000000
228.90248817   0.00249645   0.00000000
229.40248817   0.00249645   0.00000000
229.40248817   0.00251384   0.00000000
229.90248817   0.00251384   0.00000000
229.90248817   0.00270315   0.00000000
230.40248817   0.00270315   0.00000000
230.40248817   0.00282704   0.00000000
230.90248817   0.00282704   0.00000000
230.90248817   0.00279726   0.00000000
231.40248817   0.00279726   0.00000000
231.40248817   0.00261206   0.00000000
231.90248817   0.00261206   0.00000000
231.90248817   0.00231129   0.00000000
232.40248817   0.00231129   0.00000000
232.40248817   0.00194730   0.00000000
232.90248817   0.00194730   0.00000000
232.90248817   0.00156818   0.00000000
233.40248817   0.00156818   0.00000000
233.40248817   0.00121012   0.00000000
233.90248817   0.00121012   0.00000000
233.90248817   0.00089560   0.00000000
234.40248817   0.00089560   0.00000000
234.40248817   0.00063494   0.00000000
234.90248817   0.00063494   0.00000000
234.90248817   0.00042932   0.00000000
235.40248817   0.00042932   0.00000000
235.40248817   0.00027402   0.00000000
235.90248817   0.00027402   0.00000000
235.90248817   0.00016128   0.00000000
236.40248817   0.00016128   0.00000000
236.40248817   0.00008238   0.00000000
